Behavior,Definition / Construct,Verbs,Internal / External,Independent / Interactive,Program Preferred Context,Preferred Task Type,Other Possible Task Type,Learner choice of task,Preferred Deliverable Task Type,Other Possible Deliverable Task Type,Learner choice of deliverable
Think Critically (Prospective),"Interpret information before or during action to analyze causes, options, constraints, and consequences; identify a justified next step under uncertainty.","Analyze,Formulate,Calculate,Determine,Apply,Observe,Research,Synthesize,Assess,Measure,Interpret,Discern,Verify,Appraise,Prioritize,Assign,Align,Recommend,Review,Outline,Leverage,Balance",Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Think Critically (Retrospective),"Evaluate prior actions, outcomes, artifacts, or experiences to judge effectiveness, identify lessons, and justify conclusions after the fact.","Reflect,Evaluate,Review",Internal,Independent,Real world,Real world demonstration,"Scenario,Real world project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Know / Understand,"Recognize, recall, classify, compare, or apply foundational concepts, facts, procedures, and relationships in context.","Determine,Identify,Calculate,Recognize,Use/Utilize,Interpret,Differentiate,Compare,Assign,Classify",Internal,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Explain,"Make understanding visible by describing, justifying, documenting, or communicating reasoning, evidence, processes, or relationships.","Write,Describe,Explain,Justify,Communicate (Written),Document,Articulate,Compare,Define,Report",External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Decide / Select,"Choose among options using explicit criteria, evidence, constraints, tradeoffs, risks, or standards.","Decide,Select,Choose,Discern,Define",External,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",No choice,Answer questions,"Report,Proposal / Prototype,Observation,Presentation,Artifact",Decided by Program
Show Evidence,"Assemble artifacts, examples, observations, data, or documentation that demonstrate competence, progress, or meeting a standard.","Document,Provide (evidence),Show,Record,Report",External,Independent,Real world,Real world demonstration,Real world project,No choice,Portfolio,"Artifact,Observation,Report,Presentation",Decided by Program
Create,"Produce an original artifact, plan, design, model, text, performance, or solution that addresses a purpose, context, and criteria.","Make,Plan,Design,Construct,Build,Create,Develop,Brainstorm,Generate,Organize,Devise,Propose",External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Interact,"Engage reciprocally with people, tools, environments, or systems through communication, coordination, adaptation, or negotiation.","Faciliate,Lead,Teach,Communicate (Verbal),Interact,Collaborate,Engage,Negotiate,Give feedback,Receive feedback,Influence,Persuade",External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
React,"Respond appropriately to cues, prompts, feedback, conflict, emotion, changing conditions, or stakeholder needs.","Manage,Support,Adapt,Monitor,Respond,Update,Iterate,Assign,Resolve,Leverage",External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Implement,"Put a plan, procedure, design, intervention, or solution into action while monitoring quality, outcomes, and needed adjustments.","Implement,Manage,Lead,Deliver,Measure,Use/Utilize,Deploy,Employ,Organize,Procure,Conduct,Perform,Demonstrate,Test",External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
