Name,Description,Behaviors1,Modality,Learner choice in modality?,AI-resistance affordance
Report,"A description, discussion, and analysis. May be used in conjunction with Proposal / Prototype. May also include reflection and/or evaluation. May be prepared for an external audience to assess communication. (A presentation may be a specific format of a project report.)","Explain,Decide / Select,Show Evidence,Implement","Written,Video,Discipline-specific format,Artifacts",Decided by program,"Require case-specific evidence, source/provenance notes, draft feedback, and follow-up questions to verify reasoning rather than polished prose alone."
Portfolio,"A collection of artifacts gathered from an authentic context. Not bound by a specific time (e.g., a lesson plan from ANY point in the semester, a budget from ANY project you've worked on etc.)","Show Evidence,Implement",Artifacts,Always,"Learner-specific artifacts, dates, annotations, supervisor/peer feedback, and reflection create a process trail that is hard to fabricate generically."
Observation,"An record of an authentic implementation. May be conducted via video or in person. Used to evaluate context dependent skills, such as facilitation.","React,Interact","Video,In-person observation,Virtual observation",Decided by program,Direct live or recorded evidence of performance makes the assessed behavior visible and supports verification with a rubric or checklist.
Proposal / Prototype,"A design or plan to address a problem. Often includes some analysis / justification grounded in knowledge and/or observation. Can be used in conjunction with a scenario, or with a real world application.",Create,"Artifacts,Written,Video",Decided by program,"Iteration history, constraints, tests, and design rationale reveal decision-making behind the final product."
Answer questions,Extended responses to questions. Elicits explanation of analysis or other critical thinking. Can be used alone or in conjunction with another deliverable (as follow-up questions).,"Explain,Decide / Select","Audio/Spoken,Written",Always,"Use tailored scenarios, short follow-up questions, and justification prompts so scoring emphasizes reasoning and transfer."
Presentation,"Similar to ""Report"" - explanation and analysis of an implemented project, with emphasis on verbal communication.","Explain,Decide / Select,Show Evidence,Create,Interact,React,Implement","Video,In-person observation,Virtual observation",No choice,"Audience-specific delivery, Q&A, and time-bound explanation support ownership, transfer, and responsiveness."
Artifact,"A product created to demonstrate understanding, communication, or show evidence of a competency (such as photos, posters, maps, podcasts, blogs, or other suitable products).","Explain,Show Evidence,Create,Implement","Artifacts,Written,Audio/Spoken,Video,Discipline-specific format",Decided by program,"Authentic constraints, annotations, provenance, and version history connect the product to the learner's decisions and process."
*None: Must be paired with External Behavior*,,"Think Critically (Prospective),Think Critically (Retrospective),Know / Understand",,,"N/A: internal evidence must be elicited through a paired external deliverable such as explanation, observation, artifact, or oral defense."
Oral defense / Viva response,Spoken explanation under structured follow-up questioning.,Argue / Defend; Explain; Model / Represent; Think Critically,"Audio/Spoken, Video, In-person observation, Virtual observation",No choice,Verifies reasoning and transfer through follow-up questions.
Lab notebook / Research log,"Chronological record of question, method, data, observations, decisions, and interpretation.",Investigate / Inquire; Show Evidence; Self-Regulate / Revise,"Written, Artifacts, Discipline-specific format",Decided by program,Process and learner-generated data reduce generic final-product substitution.
Decision memo / Recommendation brief,"Concise recommendation with evidence, criteria, tradeoffs, and implementation implications.",Decide / Select; Ethical / Professional Judgment; Communicate for Audience,"Written, Video, Presentation",Decided by program,Specific scenario constraints and decision criteria focus grading on judgment.
Annotated artifact / Work sample,"Product annotated to identify design choices, evidence, standards, and revisions.",Create; Explain; Show Evidence; Critique / Calibrate,"Artifacts, Written, Video",Always,Annotations connect final work to learner decisions.
Process log / Design notebook,"Record of steps, drafts, feedback, failures, decisions, and revisions.",Self-Regulate / Revise; Create; Implement; Use Tools / AI Responsibly,"Written, Artifacts, Discipline-specific format",Always,Process-product evidence is a core AI-resistant feature.
Model / Concept map / Diagram,"Visual or formal representation of concepts, relationships, systems, data, or mechanisms.",Model / Represent; Explain; Think Critically,"Artifacts, Written, Presentation",Decided by program,Requires representation choices and explanation of assumptions.
Data visualization / Dashboard,"Visual presentation of data with interpretation, limitations, and audience-specific design.",Model / Represent; Communicate for Audience; Think Critically,"Artifacts, Written, Presentation",Decided by program,"Local data, reproducible files, and audience constraints support authenticity."
Code repository / README / Tests,"Executable code plus documentation, tests, commit/process history, and rationale.",Implement; Troubleshoot / Diagnose; Use Tools / AI Responsibly,"Artifacts, Written, Discipline-specific format",No choice,"Tests, commit history, and code walkthrough support authorship evidence."
Peer review report / Calibration note,Criteria-based feedback or score justification for peer/exemplar work.,Critique / Calibrate; Explain; Self-Regulate / Revise,"Written, Audio/Spoken",Decided by program,Visible use of criteria and comparison to exemplars provides evidence of judgment.
Rubric-scored observation checklist,Structured record of observed performance with criteria and rater notes.,Perform Procedure / Technique; Implement; Interact; React,"Observation, Video, In-person observation, Virtual observation",No choice,Direct observation resists text-only outsourcing.
Clinical note / Care plan / Handoff,"Structured professional communication documenting assessment, plan, priorities, and rationale.",Diagnose / Troubleshoot; Ethical / Professional Judgment; Communicate for Audience,"Written, Audio/Spoken, Discipline-specific format",No choice,Scenario-specific patient/client data and oral handoff can verify reasoning.
Lesson plan / Teaching video,Instructional plan and/or recorded teaching demonstration with reflection and evidence of learner needs.,Create; Perform Procedure / Technique; Communicate for Audience; Self-Regulate / Revise,"Written, Video, Observation",Decided by program,Contextualized teaching artifacts and reflection support authenticity.
Source analysis packet / Evidence matrix,"Table or packet documenting source provenance, credibility, corroboration, and use in claims.",Investigate / Inquire; Argue / Defend; Think Critically,"Written, Artifacts",Decided by program,Requires assigned-source reasoning and evidence traceability.
Policy brief / Stakeholder brief,"Audience-specific document summarizing issue, evidence, options, tradeoffs, and recommendation.",Communicate for Audience; Decide / Select; Argue / Defend,"Written, Presentation, Video",Decided by program,Audience and decision constraints require situated communication.
Portfolio reflection / Self-assessment,"Reflective evidence linking artifacts to criteria, learning progress, and future improvement.",Self-Regulate / Revise; Show Evidence; Critique / Calibrate,"Written, Video, Artifacts",Always,Learner-specific evidence and future action plan resist generic reflection.
Prototype iteration history,"Sequence of prototype versions, tests, critique, and rationale for changes.",Create; Self-Regulate / Revise; Troubleshoot / Diagnose,"Artifacts, Written, Video",Always,"Iteration history documents process, decisions, and response to constraints."
Debate brief / Argument map,Structured claim-evidence-reasoning artifact that anticipates counterarguments.,Argue / Defend; Explain; Think Critically,"Written, Presentation",Decided by program,Constrains reasoning to assigned evidence and counterargument structure.
Client communication artifact,"Email, script, counseling response, handoff, pitch, or other communication tailored to a client/stakeholder.",Communicate for Audience; Interact; Ethical / Professional Judgment,"Written, Audio/Spoken, Video",Decided by program,"Specific audience, scenario, and standards make generic prose insufficient."
AI-use disclosure / Prompt audit trail,"Documented record of AI/tool use, prompts, outputs, verification, changes, and human decisions.",Use Tools / AI Responsibly; Show Evidence; Critique / Calibrate,"Written, Artifacts",Always,Makes AI involvement transparent and assessable.
Research poster with Q&A,"Concise public-facing presentation of question, method, findings, limitations, and responses to questions.",Investigate / Inquire; Communicate for Audience; Argue / Defend,"Presentation, Video, Written",Decided by program,Q&A probes ownership and reasoning behind concise evidence claims.
