Program,Discipline Cluster
"American Studies, M.A.",Humanities / History / Literature / Philosophy
"Organizational Leadership, M.A.",Business / Management / Entrepreneurship
"Business, M.S. - Business Intelligence Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Communication Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Corporate Social Responsibility Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Entrepreneurship Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Finance Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Global Business Management Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Healthcare Management Concentration",Healthcare administration / Health systems management
"Business, M.S. - Human Resource Management Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Project Management Concentration",Business / Management / Entrepreneurship
"Business, M.S. - Supply Chain Management Concentration",Business / Management / Entrepreneurship
"Business Administration, Supply Chain Management Concentration, B.A.",Business / Management / Entrepreneurship
"Accounting, B.A.",Business / Management / Entrepreneurship
"Biology, Ecology, Evolution & Biodiversity Concentration, B.A.",Agriculture / Environmental science / Sustainability
"Biology, Pre-Medical Concentration, B.A.",Health professions / Nursing / Medicine
"Biology, Psychological Biology Concentration, B.A.",Psychology / Behavioral science
"Biology, Self-Designed Concentration, B.A.",Natural sciences / Lab sciences
"Business Administration, Accounting Concentration, B.A.",Business / Management / Entrepreneurship
"Business Administration, Cybersecurity Concentration, B.A.",Cybersecurity / Information assurance
"Business Administration, Hospitality Concentration, B.A.",Tourism / Hospitality / Event management
"Business Administration, Leadership Concentration, B.A.",Business / Management / Entrepreneurship
"Business Administration, Marketing Concentration, B.A.",Business / Management / Entrepreneurship
"Business Administration, Outdoor Recreation Concentration, B.A.",Tourism / Hospitality / Event management
"Business Administration, Project Management Concentration, B.A.",Business / Management / Entrepreneurship
"Business Administration, Sport Management Concentration, B. A.",Exercise science / Kinesiology / Athletic training
"Business Administration, Tourism Concentration, B. A.",Tourism / Hospitality / Event management
"Criminal Justice, B.A.",Criminal justice / Legal studies
"English and Media Studies B.A., General Concentration",Humanities / History / Literature / Philosophy
"English and Media Studies, B.A., Media and Cultural Studies Concentration",Humanities / History / Literature / Philosophy
"English and Media Studies - Media and Cultural Studies Concentration, B.A. (YP)",Humanities / History / Literature / Philosophy
"English and Media Studies, B.A., Writing Concentration",Languages / Communication
"History & Political Science, History Concentration, B.A.",Humanities / History / Literature / Philosophy
"History & Political Science, Political Science Concentration, B.A.",Public policy / Public health
"Psychology, Biopsychology Concentration, B.A.",Psychology / Behavioral science
"Psychology, Business Psychology Concentration, B.A.",Psychology / Behavioral science
"Psychology, General Concentration, B.A.",Psychology / Behavioral science
"Agricultural Science & Agribusiness, B.S.",Agriculture / Environmental science / Sustainability
"Art Education, B.S.",Arts / Design / Architecture / Media
"Computer Science, Information and Data Management Concentration, B.S.",Computer science / Information systems
"Computer Science, Software Development Concentration, B.S.",Computer science / Information systems
"Cybersecurity, B.S.",Cybersecurity / Information assurance
"Early Childhood Education, B.S.",Teacher education
"Elementary Education, Art Concentration, B.S.",Teacher education
"Elementary Education, Early Childhood Education Concentration, B.S.",Teacher education
"Elementary Education, English Concentration, B.S.",Teacher education
"Elementary Education, Mathematics Concentration, B.S.",Teacher education
"Elementary Education, Science Concentration, B.S.",Teacher education
"Elementary Education, Social Studies Concentration, B.S.",Teacher education
"Elementary Education, Special Education Concentration, B.S.",Teacher education
"Environmental Science & Sustainability, Natural Resources & Environmental Science Concentration, B.S.",Agriculture / Environmental science / Sustainability
"Environmental Science & Sustainability, Sustainable Agriculture Concentration, B.S.",Agriculture / Environmental science / Sustainability
"Exercise Science Self-Designed, B.S.",Exercise science / Kinesiology / Athletic training
"Exercise Science, Health & Fitness Concentration, B.S.",Exercise science / Kinesiology / Athletic training
"Exercise Science, Pre-Health Care Concentration, B.S.",Exercise science / Kinesiology / Athletic training
Healthcare Administration - Community Health Concentration,Healthcare administration / Health systems management
"Mathematics, Actuarial Science Concentration, B.S.",Mathematics / Statistics / Economics
"Mathematics, B.S.",Mathematics / Statistics / Economics
"Physical Education, B.S.",Exercise science / Kinesiology / Athletic training
"Secondary Education - English, B.S.",Teacher education
"Secondary Education - Mathematics, B.S.",Teacher education
"Secondary Education - Life Science, B.S",Teacher education
"Secondary Education - Physical Science, B.S",Teacher education
"Secondary Education - Social Studies, B.S.",Teacher education
"Applied Science, B.A.S.",Humanities / History / Literature / Philosophy
"Liberal Studies, B.L.S.",Humanities / History / Literature / Philosophy
"Art, B.F.A.",Arts / Design / Architecture / Media
"Nursing, B.S.N. (Transition Program for UMFK)",Health professions / Nursing / Medicine
"Social Work, B.S.W.",Social work / Counseling / Human services
"Elementary Education, B.S (PB)",Teacher education
"Physical Education, B.S. (PB)",Exercise science / Kinesiology / Athletic training
"Secondary Education - Life Science, B.S (PB)",Natural sciences / Lab sciences
"Secondary Education - Physical Science, B.S (PB)",Natural sciences / Lab sciences
"Secondary Education - English, B.S (PB)",Teacher education
"Secondary Education - Mathematics, B.S (PB)",Teacher education
"Secondary Education - Social Studies, B.S (PB)",Teacher education
"Applied Art, A.A.",Arts / Design / Architecture / Media
"Criminal Justice, A.A.",Criminal justice / Legal studies
"Early Childhood Education, A. A.",Teacher education
"Human Services, A.A.",Social work / Counseling / Human services
"Professional Communication, A.A.",Languages / Communication
"Liberal Studies, A.A. - Allied Health Concentration",Health professions / Nursing / Medicine
"Liberal Studies, A.A. - Business Administration Concentration",Business / Management / Entrepreneurship
"Liberal Studies, A.A. - Creative Writing Concentration",Languages / Communication
"Liberal Studies, A.A. - General Concentration",Humanities / History / Literature / Philosophy
"Liberal Studies, A.A. - Science and Mathematics Concentration",Mathematics / Statistics / Economics
