Task Type,Description,Behaviors,Format / Modality,Learner choice in modality?,AI-resistance affordance,Recommended scoring evidence,Discipline Affinity
Simulation,"Scenario with updating information that requires a response. (Some PGMT simulations might actually be regular scenarios, not simulations.)","Interact,Decide / Select,Think Critically (Prospective),Implement","Video,Written,Audio/Spoken,Observation,Discipline-specific format",Decided by program,"Dynamic inputs, decision traces, and debriefs require situated judgment and adaptation rather than a static generated response.","Decision log, response at each update, rationale for adaptation, outcome interpretation, debrief reflection.","Business, health professions, public policy, hospitality, cybersecurity, environmental science, agriculture, emergency management."
Scenario,"Contextual information is described, and the examinee is asked to respond either by analyzing & explaining parts of the scenario, making a decision, or designing a solution. Can use many formats (narrative, video, artifacts).",Think Critically (Retrospective),"Written,Audio/Spoken,Video,Discipline-specific format",Always,"Case-specific variables, localized details, and required rationale make generic answers weak; variations can be rotated across learners.","Issue identification, evidence use, reasoning chain, decision criteria, transfer to a changed condition.","All disciplines; especially professional programs, social sciences, humanities, health, business, education."
Role Play,"A mock interaction between the learner and other(s), usually used to demonstrate specific communication skills (such as responsiveness, confict management, giving feedback, etc.)",React,"Observation,Video",No choice,"Live or recorded interpersonal performance, follow-up prompts, and observation of behavior resist text-only outsourcing.","Communication checklist, interaction rubric, response to cues, professionalism, client/peer feedback, reflection.","Counseling, social work, psychology, communication, health, hospitality, management, education, legal studies."
Real world demonstration,"Demonstration in or observation from a real world context. Focus on active tasks or interactions (such as teaching, interpersonal interactions, using tools or equipment).","Interact,React,Implement,Create,Know / Understand,Explain,Think Critically (Prospective),Decide / Select","Observation,Video,Artifacts",Decided by program,"Authentic performance evidence, supervisor/observer notes, and contextual constraints directly show what the learner can do.","Observation checklist, work sample, standards alignment, supervisor/peer feedback, safety/quality criteria, reflection.","Health, education, exercise science, agriculture, environmental science, labs, engineering, arts, trades."
Real world project,"Not directly observed/assessed. Learner must provide evidence, documentation, and/or other reflection.","Think Critically (Prospective),Think Critically (Retrospective),Show Evidence,Create,Know / Understand,Explain,Decide / Select","Written,Artifacts,Audio/Spoken,Discipline-specific format",Decided by program,"Local context, stakeholder feedback, milestones, and implementation evidence make a single generic product insufficient.","Project plan, artifact/deliverable, stakeholder feedback, implementation evidence, process log, reflection.","Capstones; business, IT/cybersecurity, public health, policy, environmental science, agriculture, education, community-engaged courses."
Design project,"Similar to a real world project, but not intended for real / immediate application in the real world. May use a hypothetical or real context, but no real implementation or usage of findings is expected.","Think Critically (Prospective),Create,Know / Understand,Explain,Decide / Select","Written,Artifacts,Audio/Spoken,Video,Discipline-specific format",Decided by program,"Design constraints, prototype iterations, critique response, and rationale reveal learner decisions across time.","Design rationale, prototype/artifact, iteration evidence, feasibility/testing evidence, critique response.","Engineering, arts/design, architecture, media, technology, business, education, environmental design."
Oral exam / Viva,"Structured live or recorded questioning that probes reasoning, assumptions, and transfer.",Argue / Defend; Explain; Think Critically; Model / Represent; Self-Regulate / Revise,"Audio/Spoken, Video, In-person observation, Virtual observation",No choice,Follow-up questions verify authorship and reasoning.,"Rubric for accuracy, reasoning, evidence use, and responsiveness.","All; especially math, humanities, professional programs"
Performance task / Skills check,Learner performs a procedure or technique under observed or recorded conditions.,Perform Procedure / Technique; Implement; Show Evidence,"Observation, Video, In-person observation, Virtual observation",No choice,Direct performance evidence cannot be fully outsourced to text generation.,"Checklist/rubric, error analysis, safety/procedure criteria.","Health, labs, engineering, arts, trades"
OSCE / Standardized client station,"Timed stations with standardized patients/clients, scenarios, and scoring criteria.",React; Interact; Ethical / Professional Judgment; Perform Procedure / Technique; Diagnose / Troubleshoot,"In-person observation, Virtual observation, Video",No choice,Simulated human interaction and station-specific facts require situated performance.,"Station checklist, global rating, client feedback, rater notes.","Health professions, social work, counseling, education"
Inquiry / Investigation,"Learner formulates a question, designs a method, gathers evidence, and interprets findings.",Investigate / Inquire; Think Critically; Show Evidence; Explain,"Written, Artifacts, Video, Discipline-specific format",Decided by program,Requires original evidence collection and decisions about method.,"Research log, method rationale, evidence quality, interpretation.","Sciences, social sciences, humanities"
Lab practicum,"Learner plans, conducts, analyzes, and explains lab work or a practical investigation.",Perform Procedure / Technique; Investigate / Inquire; Think Critically; Explain,"In-person observation, Video, Artifacts, Discipline-specific format",No choice,"Combines process, equipment, and data evidence.","Lab notebook, observation checklist, data quality, explanation.","Natural sciences, health, engineering"
Modeling task,"Learner creates a mathematical, conceptual, computational, or visual representation and explains assumptions.",Model / Represent; Think Critically; Create; Explain,"Written, Artifacts, Discipline-specific format, Video",Decided by program,Assumption defense and scenario-specific constraints make generic answers weak.,"Model accuracy, assumptions, limitations, sensitivity, explanation.","Math, statistics, economics, engineering, science"
Case-based decision memo,"Learner interprets a case, chooses among options, and justifies a recommendation.",Decide / Select; Think Critically; Ethical / Professional Judgment; Explain,"Written, Audio/Spoken, Video",Decided by program,Case variables can be randomized or local; rationale matters more than prose.,"Decision criteria, use of evidence, tradeoff analysis, consequences.","Business, health, policy, education, social sciences"
Structured debate / Moot court,"Learner defends a position, addresses counterarguments, and uses evidence under questioning.",Argue / Defend; Interact; Explain; Think Critically,"Audio/Spoken, Video, In-person observation, Virtual observation",No choice,Live rebuttal and assigned evidence constrain outsourcing.,"Argument quality, evidence use, rebuttal, responsiveness.","Law, humanities, social sciences, policy, ethics"
Peer review / Calibration,Learner applies criteria to exemplars or peer work and explains judgments.,Critique / Calibrate; Self-Regulate / Revise; Interact; Explain,"Written, Audio/Spoken, Discipline-specific format",Decided by program,"Requires comparison, judgment, and often interaction with peer artifacts.","Accuracy/calibration, criteria use, feedback quality.","Writing, design, professional programs, all project courses"
Process-product portfolio assessment,"Learner submits final work plus drafts, feedback, decisions, revisions, and reflective commentary.",Self-Regulate / Revise; Show Evidence; Create; Explain,"Artifacts, Written, Video, Discipline-specific format",Always,Process trail and iteration history make single-shot AI products insufficient.,"Draft history, feedback use, reflection, final quality.","All; especially writing, design, education, capstones"
Capstone / Client project,"Extended authentic project for a client, community, workplace, or complex real-world problem.",Create; Implement; Collaborate / Coordinate; Communicate for Audience; Think Critically,"Artifacts, Written, Video, Presentation, Discipline-specific format",Decided by program,"Authentic constraints, stakeholder feedback, and milestones are hard to outsource completely.","Proposal, prototype, client feedback, final presentation, reflection.","Engineering, business, public health, design, IT, education"
Design critique / Studio review,"Learner presents design work for critique, explains choices, receives/uses feedback, and revises.",Create; Critique / Calibrate; Self-Regulate / Revise; Communicate for Audience,"Artifacts, Presentation, Video, In-person observation",No choice,"Visible design artifacts, critique dialogue, and revision history support authenticity.","Design criteria, rationale, critique response, iteration.","Design, architecture, arts, media, engineering"
Data analysis practicum,Learner analyzes a provided or learner-generated data set and communicates interpretation and limitations.,Think Critically; Model / Represent; Explain; Use Tools / AI Responsibly,"Written, Artifacts, Discipline-specific format, Video",Decided by program,Unique/local data and code/output logs provide evidence beyond final narrative.,"Analysis plan, reproducibility, visualization, interpretation, limitations.","Statistics, data science, social science, business, public health"
Code walkthrough / Interview,"Learner demonstrates code, explains design/debugging choices, and responds to questions.",Troubleshoot / Diagnose; Implement; Explain; Use Tools / AI Responsibly,"Video, Virtual observation, In-person observation, Artifacts",No choice,Live explanation and debugging verifies understanding of submitted code.,"Correctness, maintainability, tests, explanation, debugging.","Computer science, information systems, data science"
