Discipline / Program Cluster,Particularly Appropriate Task Types,Recommended Deliverables,High-value Verbs to Add / Emphasize,Why this fit is strong,AI-resistant design moves,Primary Source Keys,Source URLs
Health professions / Nursing / Medicine,Simulation; Scenario; Role Play; Real world demonstration; Performance task / Skills check; OSCE / Standardized client station; Case-based decision memo; Fieldwork / Practicum evidence; AI audit / Source verification task,Clinical note / Care plan / Handoff; Rubric-scored observation checklist; Oral defense / Viva response; Decision memo / Recommendation brief; Process log / Design notebook; AI-use disclosure / Prompt audit trail,"Diagnose, triage, administer, counsel, escalate, safeguard, handoff, monitor","Clinical competence often requires observed performance, interaction, safety, and situated judgment under constraints.","Use standardized patients, station-specific data, observed performance, oral handoff, and follow-up questioning.","Miller_1990, OSCE_Validity_2018, Issenberg_2005, HealthSim_Quality_2023",https://academic.oup.com/academicmedicine/article-abstract/65/9/S63/8361091; https://link.springer.com/article/10.1186/s12909-018-1421-x; https://www.unboundmedicine.com/medline/citation/16147767/Features_and_uses_o...; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10767249/
Social work / Counseling / Human services,Scenario; Role Play; Real world demonstration; OSCE / Standardized client station; Case-based decision memo; Structured debate / Moot court; Fieldwork / Practicum evidence; Community-based project; Process-product portfolio assessment,Client communication artifact; Rubric-scored observation checklist; Decision memo / Recommendation brief; Portfolio reflection / Self-assessment; Oral defense / Viva response; Source analysis packet / Evidence matrix,"Interview, assess risk, de-escalate, advocate, consent, refer, document, reflect","Competence involves human interaction, ethics, empathy, risk assessment, documentation, and response to complex client contexts.","Use actor/simulated clients, live follow-up, de-identified case notes, supervisor feedback, and reflective process evidence.","SocialWork_StandardizedClients_2013, Gulikers_2004, Boud_Falchikov_2006",https://eric.ed.gov/?id=EJ1012032; https://link.springer.com/article/10.1007/BF02504676; https://eric.ed.gov/?id=EJ736100
Psychology / Behavioral science,Scenario; Inquiry / Investigation; Data analysis practicum; Case-based decision memo; Peer review / Calibration; Process-product portfolio assessment; Role Play; AI audit / Source verification task,Report; Lab notebook / Research log; Data visualization / Dashboard; Peer review report / Calibration note; Portfolio reflection / Self-assessment; Oral defense / Viva response; AI-use disclosure / Prompt audit trail,"Operationalize, interpret, diagnose, observe, analyze behavior, evaluate evidence, communicate findings","Psychology outcomes often require applying theory to behavior, interpreting evidence, evaluating methods, and communicating ethically.","Use local/assigned data, scenario variants, method logs, participant/client constraints, and oral explanation of interpretation.","Psych_Assessment_2025, Kane_2013, Jonsson_Svingby_2007",https://pmc.ncbi.nlm.nih.gov/articles/PMC12218498/; https://www.ets.org/research/policy_research_reports/publications/article/201...; https://eric.ed.gov/?id=EJ796733
Teacher education,Scenario; Real world demonstration; Design project; Performance task / Skills check; Case-based decision memo; Peer review / Calibration; Process-product portfolio assessment; Fieldwork / Practicum evidence; Community-based project,Lesson plan / Teaching video; Rubric-scored observation checklist; Portfolio reflection / Self-assessment; Annotated artifact / Work sample; Peer review report / Calibration note; Oral defense / Viva response,"Differentiate, facilitate, adapt, assess, reflect, revise, scaffold, align","Teaching requires performance in context and analysis of learner needs, standards, evidence, and instructional effects.","Use video observation, contextualized learner profiles, lesson artifacts, feedback cycles, and reflection tied to evidence.","DarlingHammond_Snyder_2000, Boud_Falchikov_2006, Jonsson_Svingby_2007",https://eric.ed.gov/?id=EJ610676; https://eric.ed.gov/?id=EJ736100; https://eric.ed.gov/?id=EJ796733
Engineering / Technology,Simulation; Real world demonstration; Real world project; Design project; Performance task / Skills check; Lab practicum; Modeling task; Peer review / Calibration; Capstone / Client project; Design critique / Studio review; Process-product portfolio assessment,Proposal / Prototype; Prototype iteration history; Process log / Design notebook; Model / Concept map / Diagram; Rubric-scored observation checklist; Report; Presentation; Peer review report / Calibration note,"Model, optimize, troubleshoot, fabricate, validate, configure, test, iterate","Engineering outcomes often require design under constraints, testing, iteration, tradeoff analysis, and communication to technical and nontechnical audiences.","Require design logs, test data, prototype demos, stakeholder constraints, peer critique, and oral design review.","Gulikers_2004, Math_Modeling_Rubric_2022, Villarroel_2018",https://link.springer.com/article/10.1007/BF02504676; https://academic.oup.com/teamat/article/42/3/266/6751014; https://eric.ed.gov/?id=EJ1181322
Computer science / Information systems,Simulation; Scenario; Real world project; Design project; Performance task / Skills check; Modeling task; Data analysis practicum; Code walkthrough / Interview; Capstone / Client project; Peer review / Calibration; AI audit / Source verification task,Code repository / README / Tests; AI-use disclosure / Prompt audit trail; Process log / Design notebook; Data visualization / Dashboard; Oral defense / Viva response; Peer review report / Calibration note,"Debug, refactor, configure, replicate, verify output, document AI use, test","Code correctness alone is insufficient; maintainability, reasoning, debugging process, testing, and responsible tool use matter.","Use individualized repositories, commits/process history, test suites, live code explanation, debugging prompts, and tool-use disclosure.","CS_Autograding_2024, CS_Code_Interviews_2025, Alkouk_Khlaif_2024",https://dl.acm.org/doi/10.1145/3636515; https://sigcse2025.sigcse.org/details/sigcse-ts-2025-Papers/66/Code-Interview...; https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.14...
Cybersecurity / Information assurance,Simulation; Simulation game / Business game; Scenario; Performance task / Skills check; Lab practicum; Code walkthrough / Interview; Case-based decision memo; Structured debate / Moot court; AI audit / Source verification task,Code repository / README / Tests; Process log / Design notebook; Rubric-scored observation checklist; Decision memo / Recommendation brief; Source analysis packet / Evidence matrix; Oral defense / Viva response; AI-use disclosure / Prompt audit trail,"Exploit, defend, harden, monitor, investigate, verify, document risk, respond","Cybersecurity learning often requires hands-on tasks, adversarial reasoning, evidence trails, risk judgment, and communication of mitigation choices.","Use isolated labs/cyber ranges, unique artifacts/logs, screen-recorded walkthroughs, incident debriefs, and verification of AI/security-tool output.","Cyber_CTF_2020, CS_Code_Interviews_2025, Alkouk_Khlaif_2024",https://www.sciencedirect.com/science/article/pii/S0167404820304272; https://sigcse2025.sigcse.org/details/sigcse-ts-2025-Papers/66/Code-Interview...; https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.14...
Natural sciences / Lab sciences,Real world demonstration; Inquiry / Investigation; Lab practicum; Modeling task; Data analysis practicum; Process-product portfolio assessment; AI audit / Source verification task,Lab notebook / Research log; Data visualization / Dashboard; Research poster with Q&A; Model / Concept map / Diagram; Report; Oral defense / Viva response; AI-use disclosure / Prompt audit trail,"Hypothesize, sample, measure, triangulate, explain, interpret, replicate, evaluate uncertainty","Scientific learning involves inquiry, evidence, method, data quality, representation, interpretation, and limitations.","Require learner-generated data, lab notebook, method rationale, reproducible files, and poster Q&A.","Hofstein_Lunetta_2004, Gulikers_2004, Vlachopoulos_Makri_2024",https://eric.ed.gov/?id=EJ759842; https://link.springer.com/article/10.1007/BF02504676; https://www.sciencedirect.com/science/article/pii/S0191491X24001044
Agriculture / Environmental science / Sustainability,Scenario; Real world demonstration; Real world project; Inquiry / Investigation; Lab practicum; Modeling task; Data analysis practicum; Fieldwork / Practicum evidence; Community-based project; Policy lab / Stakeholder briefing; Process-product portfolio assessment,Lab notebook / Research log; Data visualization / Dashboard; Policy brief / Stakeholder brief; Report; Portfolio; Rubric-scored observation checklist; Research poster with Q&A; Process log / Design notebook,"Sample, monitor, steward, assess risk, map, model, recommend, manage systems, communicate tradeoffs","These fields require place-based evidence, field/lab methods, systems thinking, stakeholder communication, and decisions under ecological or production constraints.","Use local sites/data, field logs, geotagged or time-stamped evidence, stakeholder constraints, and public-facing briefs.","Ag_Experiential_2024, Env_Authentic_2024, Hofstein_Lunetta_2004, Gulikers_2004",https://eric.ed.gov/?id=EJ1427027; https://eric.ed.gov/?id=EJ1453670; https://eric.ed.gov/?id=EJ759842; https://link.springer.com/article/10.1007/BF02504676
Mathematics / Statistics / Economics,Scenario; Modeling task; Data analysis practicum; Oral exam / Viva; Simulation game / Business game; Case-based decision memo; AI audit / Source verification task,Model / Concept map / Diagram; Data visualization / Dashboard; Report; Oral defense / Viva response; Decision memo / Recommendation brief; AI-use disclosure / Prompt audit trail,"Model, prove, estimate, forecast, optimize, parameterize, justify assumptions","Competence often requires representation, assumptions, proof or inference, sensitivity analysis, and communication of uncertainty.","Use oral defense of assumptions, unique data sets, sensitivity checks, step-specific rubrics, and reproducibility artifacts.","Math_Modeling_Rubric_2022, Kane_2013, Jonsson_Svingby_2007",https://academic.oup.com/teamat/article/42/3/266/6751014; https://www.ets.org/research/policy_research_reports/publications/article/201...; https://eric.ed.gov/?id=EJ796733
