Source Key,Full Reference,Assessment Implication,URL
Kane_2013,"Kane, M. T. (2013). Validating the interpretations and uses of test scores. Journal of Educational Measurement, 50(1), 1-73.","Argument-based validity; score uses require evidence for claims, assumptions, and consequences.",https://www.ets.org/research/policy_research_reports/publications/article/2013/jpdc.html
Biggs_1996,"Biggs, J. (1996). Enhancing teaching through constructive alignment. Higher Education, 32, 347-364.",Learning outcomes should nominate performances of understanding that are aligned with teaching and assessment.,https://link.springer.com/article/10.1007/BF00138871
Gulikers_2004,"Gulikers, J. T. M., Bastiaens, T. J., & Kirschner, P. A. (2004). A five-dimensional framework for authentic assessment. Educational Technology Research and Development, 52(3), 67-86.","Authentic assessment can be designed across task, physical context, social context, result/form, and criteria.",https://link.springer.com/article/10.1007/BF02504676
Villarroel_2018,"Villarroel, V., Bloxham, S., Bruna, D., Bruna, C., & Herrera-Seda, C. (2018). Authentic assessment: creating a blueprint for course design. Assessment & Evaluation in Higher Education, 43(5), 840-854.",Authentic assessment replicates tasks and performance standards in real/professional contexts and supports employability-related learning.,https://eric.ed.gov/?id=EJ1181322
Boud_Falchikov_2006,"Boud, D., & Falchikov, N. (2006). Aligning assessment with long-term learning. Assessment & Evaluation in Higher Education, 31(4), 399-413.",Assessment should prepare learners for future practice and position students as assessors of quality.,https://eric.ed.gov/?id=EJ736100
Tai_2018,"Tai, J., Ajjawi, R., Boud, D., Dawson, P., & Panadero, E. (2018). Developing evaluative judgement: enabling students to make decisions about quality of work. Higher Education, 76, 467-481.",Evaluative judgment is the capability to judge the quality of one's own and others' work.,https://link.springer.com/article/10.1007/s10734-017-0220-3
Jonsson_Svingby_2007,"Jonsson, A., & Svingby, G. (2007). The use of scoring rubrics: Reliability, validity and educational consequences. Educational Research Review, 2(2), 130-144.","Analytic, topic-specific rubrics with exemplars and rater training can improve reliability of performance scoring.",https://eric.ed.gov/?id=EJ796733
Panadero_Jonsson_2013,"Panadero, E., & Jonsson, A. (2013). The use of scoring rubrics for formative assessment purposes revisited: A review. Educational Research Review, 9, 129-144.","Rubrics can support formative assessment, self-assessment, peer assessment, and self-regulation when used actively.",https://eric.ed.gov/?id=EJ999454
Dochy_1999,"Dochy, F., Segers, M., & Sluijsmans, D. (1999). The use of self-, peer and co-assessment in higher education: A review. Studies in Higher Education, 24(3), 331-350.","Self-, peer-, and co-assessment can support reflection, responsibility, and professional competencies.",https://eric.ed.gov/?id=EJ609990
Chi_Wylie_2014,"Chi, M. T. H., & Wylie, R. (2014). The ICAP framework: Linking cognitive engagement to active learning outcomes. Educational Psychologist, 49(4), 219-243.","Observable engagement can be passive, active, constructive, or interactive; constructive/interactive tasks elicit deeper processing.",https://files.eric.ed.gov/fulltext/EJ1044018.pdf
Vlachopoulos_Makri_2024,"Vlachopoulos, D., & Makri, A. (2024). A systematic literature review on authentic assessment in higher education. Studies in Educational Evaluation, 83, 101425.","Authentic assessment uses real-world tasks to evaluate knowledge, skills, and attitudes and can develop 21st-century skills.",https://www.sciencedirect.com/science/article/pii/S0191491X24001044
Alkouk_Khlaif_2024,"Alkouk, W. A., & Khlaif, Z. N. (2024). AI-resistant assessments in higher education: practical insights from faculty training workshops. Frontiers in Education, 9.","AI-resistant assessment can emphasize process-product evidence, critical thinking, creativity, collaboration, and transparent AI use.",https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.1499495/full
GenAI_Assessment_2024,Liu et al. (2024). A scoping review on how generative artificial intelligence transforms assessment in higher education. International Journal of Educational Technology in Higher Education.,"Generative AI creates assessment-integrity challenges and opportunities; assessment designs should reconsider tasks, evidence, and use of AI.",https://link.springer.com/article/10.1186/s41239-024-00468-z
Miller_1990,"Miller, G. E. (1990). The assessment of clinical skills/competence/performance. Academic Medicine, 65(9), S63-S67.","Competence assessment can move from knowledge to knows-how, shows-how, and does, supporting observed performance tasks.",https://academic.oup.com/academicmedicine/article-abstract/65/9/S63/8361091
Issenberg_2005,"Issenberg, S. B., McGaghie, W. C., Petrusa, E. R., Gordon, D. L., & Scalese, R. J. (2005). Features and uses of high-fidelity medical simulations that lead to effective learning. Medical Teacher, 27(1), 10-28.","Simulation is effective when it provides feedback, repeated practice, integration, graded difficulty, and defined outcomes.",https://www.unboundmedicine.com/medline/citation/16147767/Features_and_uses_of_high_fidelity_medical_simulations_that_lead_to_effective_learning%3A_a_BEME_systematic_review_
OSCE_Validity_2018,Pierre et al. / BMC Medical Education (2018). Evaluating the validity evidence of an OSCE: results from a new medical school.,OSCEs require validity evidence and can assess clinical performance using structured stations and scoring.,https://link.springer.com/article/10.1186/s12909-018-1421-x
Hofstein_Lunetta_2004,"Hofstein, A., & Lunetta, V. N. (2004). The laboratory in science education: Foundations for the twenty-first century. Science Education, 88(1), 28-54.","Laboratory assessment can elicit inquiry, evidence-based explanation, and authentic scientific practice.",https://eric.ed.gov/?id=EJ759842
DarlingHammond_Snyder_2000,"Darling-Hammond, L., & Snyder, J. (2000). Authentic assessment of teaching in context. Teaching and Teacher Education, 16(5-6), 523-545.","Cases, exhibitions, portfolios, and action research can validly assess teaching in context.",https://eric.ed.gov/?id=EJ610676
Gosen_Washbush_2004,"Gosen, J., & Washbush, J. (2004). A review of scholarship on assessing experiential learning effectiveness. Simulation & Gaming, 35(2), 270-293.",Business games/simulations and experiential approaches need careful assessment of learning effectiveness and validity.,https://eric.ed.gov/?id=EJ962209
CS_Autograding_2024,"Messer, M., Brown, N. C. C., Kölling, M., & Shi, M. (2024). Automated grading and feedback tools for programming education: A systematic review. ACM Transactions on Computing Education.","Programming assessment commonly uses automated tests and static analysis; human review is still important for quality, maintainability, and documentation.",https://dl.acm.org/doi/10.1145/3636515
CS_Code_Interviews_2025,"Code Interviews: Design and Evaluation of a More Authentic Assessment for Introductory Programming. SIGCSE Technical Symposium, 2025.",Code interviews can add authentic planning/debugging explanation and oral verification to take-home programming assignments.,https://sigcse2025.sigcse.org/details/sigcse-ts-2025-Papers/66/Code-Interviews-Design-and-Evaluation-of-a-More-Authentic-Assessment-for-Introductor
Wineburg_1991,"Wineburg, S. S. (1991). Historical problem solving: a study of the cognitive processes used in the evaluation of documentary and pictorial evidence. Journal of Educational Psychology, 83(1), 73-87.","Historical thinking involves sourcing, contextualization, corroboration, and close reading of evidence.",https://eric.ed.gov/?id=EJ436869
Smith_Breakstone_Wineburg_2019,"Smith, M., Breakstone, J., & Wineburg, S. (2019). History Assessments of Thinking: A validity study. Cognition and Instruction, 37(1), 118-144.",Short constructed-response history assessments can be designed and validated to tap intended historical-thinking constructs.,https://www.jstor.org/stable/pdf/48541494.pdf
SocialWork_StandardizedClients_2013,"Logie, C. et al. (2013). A critical appraisal of the use of standardized client simulations in social work education. Journal of Social Work Education.",Standardized client simulations can support teaching and evaluating social work competence.,https://eric.ed.gov/?id=EJ1012032
Math_Modeling_Rubric_2022,"A rubric for assessing mathematical modelling problems in a scientific-engineering context. Teaching Mathematics and its Applications, 42(3), 266-281.",Mathematical modelling assessment can use criteria across modelling processes and levels.,https://academic.oup.com/teamat/article/42/3/266/6751014
Eportfolio_2024,"Yang, H., & Wong, R. (2024). An In-Depth Literature Review of E-Portfolio Implementation in Higher Education. Issues and Trends in Learning Technologies.","E-portfolios support evidence collection, reflection, feedback, and longitudinal assessment when implementation is purposeful.",https://journals.librarypublishing.arizona.edu/itlt/article/id/5809/
Design_Critique_2025,"Advances in design studio critique techniques: a narrative review on architectural design studio assessment. Discover Education, 2025.",Studio critique is central to design education and can be used as an assessment tool when structured with criteria and feedback.,https://link.springer.com/article/10.1007/s44217-025-00824-9
Language_Oral_2026,"Rethinking the Assessment of Oral Communicative Competence in Higher Education. Technology, Knowledge and Learning, 2026.","Open-ended oral communication tasks can capture observable, functional dimensions not captured by closed-ended instruments.",https://link.springer.com/article/10.1007/s10758-026-09963-w
Faculty_Focus_2026,,,https://www.facultyfocus.com/articles/educational-assessment/designing-ai-resistant-assignments-in-educational-leadership-courses/
Grand_Valley_2026,,,https://services.gvsu.edu/TDClient/60/Portal/KB/PrintArticle?ID=28598
eSchool_News_2026,,,https://www.eschoolnews.com/digital-learning/2026/03/12/ai-classrooms-designing-assessment/
FeedbackFruits_2026,,,https://feedbackfruits.com/blog/ai-resilient-assessment-design-higher-education
Frontiers_2024,,,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.1499495/full
Psych_Assessment_2025,Best practice assessment methods for the undergraduate psychology program/curriculum: a review. (2025).,"Psychology assessment benefits from varied methods, including applied cases, research/data tasks, communication, and scaffolded assessment across levels.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12218498/
